Time;Treatment;Strain;Replicate;CFU
9;WT;764;R2;25500000
9;WT;764;R3;26000000
9;WT;763;R1;120000000
9;WT;763;R2;240000000
9;WT;763;R3;310000000
9;WT;749;R1;0
9;WT;749;R2;0
9;WT;749;R3;0
9;WT;757;R1;25250000
9;WT;757;R2;4000000
9;WT;757;R3;8000000
9;CONTROL;764;R1;17000000
9;CONTROL;764;R2;20000000
9;CONTROL;764;R3;16000000
9;CONTROL;763;R1;130000000
9;CONTROL;763;R2;190000000
9;CONTROL;763;R3;100000000
9;CONTROL;749;R1;0
9;CONTROL;749;R2;0
9;CONTROL;749;R3;0
9;CONTROL;757;R1;5000000
9;CONTROL;757;R2;8000000
9;CONTROL;757;R3;9000000
9;SFP;764;R1;22000000
9;SFP;764;R2;15000000
9;SFP;764;R3;29000000
9;SFP;763;R1;170000000
9;SFP;763;R2;270000000
9;SFP;763;R3;350000000
9;SFP;749;R1;0
9;SFP;749;R2;0
9;SFP;749;R3;0
9;SFP;757;R1;9000000
9;SFP;757;R2;2000000
9;SFP;757;R3;3000000
9;srfAC;764;R1;25000000
9;srfAC;764;R2;32500000
9;srfAC;764;R3;28000000
9;srfAC;763;R1;200000000
9;srfAC;763;R2;310000000
9;srfAC;763;R3;390000000
9;srfAC;749;R1;0
9;srfAC;749;R2;0
9;srfAC;749;R3;0
9;srfAC;757;R1;4000000
9;srfAC;757;R2;3000000
9;srfAC;757;R3;5000000
9;ppsC;764;R1;19000000
9;ppsC;764;R2;32000000
9;ppsC;764;R3;28000000
9;ppsC;763;R1;230000000
9;ppsC;763;R2;350000000
9;ppsC;763;R3;290000000
9;ppsC;749;R1;0
9;ppsC;749;R2;0
9;ppsC;749;R3;0
9;ppsC;757;R1;3000000
9;ppsC;757;R2;2000000
9;ppsC;757;R3;6000000
12;WT;764;R1;9500000
12;WT;764;R2;20500000
12;WT;764;R3;27000000
12;WT;763;R1;130000000
12;WT;763;R2;290000000
12;WT;763;R3;430000000
12;WT;749;R1;0
12;WT;749;R2;0
12;WT;749;R3;0
