Treatment;Day;Replicate;Peak1;Peak2;Peak3;Peak4;Peak5;Peak6;Peak7;Peak8;Peak9;Peak10;Peak11;Peak12;Peak13;Peak14;Peak15;Peak16;Peak17;Peak18;Peak19;Peak20;Peak21;Peak22;Peak23;Peak24;Peak25;Peak26;Peak27;Peak28;Peak29;Peak30;Peak31;Peak32;Peak33;Peak34;Peak35;Peak36;Peak37;Peak38;Peak39;Peak40;Peak41;Peak42;Peak43;Peak44;Peak45;Peak46;Peak47;Peak48;Peak49;Peak50;Peak51;Peak52;Peak53;Peak54;Peak55;Peak56;Peak57;Peak58;Peak59;Peak60;Peak61;Peak62;Peak63;Peak64;Peak65;Peak66
SRFAC;6;R2;1,21E+07;1300315,734;60293,76553;1188678,218;347491,1992;1258257,623;0;0;1285,898152;22,95484497;42457,15296;18127,82777;1150947,848;0;0;0;0;787547,9118;0;467309,8859;69,57359802;716,4409286;0;0;2730,991;89,10012085;710779,7125;8656,58701;40,82548828;808,1482452;69256,90792;1098461,425;34624,28923;373112,7087;20228,44667;28540,4972;0;0;236713,0032;1248428,99;59440,97532;186141,309;37013,19455;0;209506,5084;104794,9486;190766,982;796968,8864;254,04;9923,621382;2009853,246;0;63713,639;1239224,41;1394647,744;2890802,864;0;21,78006454;1351,14468;30268,08763;384105,6515;113694,6484;6188,396257;45427,05615;773912,3881;450003,3129
SRFAC;6;R3;1,71E+07;1286602,507;58183,62796;1873708,853;405428,7087;2351139,326;0;0;0;79,61553635;4020,403726;4014,894077;715868,9168;0;0;0;0;1315797,324;0;687364,7974;36,66311646;260,3720966;0;0;1297,304234;0;719584,8858;906,1740161;28,52645416;1050,576654;121847,3832;1920317,596;38058,85614;722025,8458;21620,84216;26517,94001;0;0;46669,38744;1868380,288;108966,0248;225648,7874;75929,84331;0;173661,9585;83274,62456;151175,7294;902128,9049;350,2126758;5677,290952;3051488,561;0;132683,3611;1634849,929;1786246,38;2693386,807;0;0;2237,816995;51953,17275;258385,5406;71633,5789;1363,898393;8405,17433;782189,127;507641,8411
PPS;6;R1;1738174,242;1288896,929;42150,05364;420964,9548;270132,8183;513903,0571;0;1610612,972;3062308,374;98,09926025;9982,285276;4203,757242;615670,1042;197807,1509;143563,7754;192810,5257;0;134209,3073;0;125119,4354;28,66441498;0;0;0;1710,981989;0;788688,4677;1194,078911;23,77125;27,44285614;14340,37098;745599,4894;19745,5109;147972,2248;7945,659679;17093,7905;0;0;4026,532015;856141,151;15056,83787;62175,48894;8177,320594;0;159268,8085;63770,74873;102970,5533;1061918,068;1149178,655;270266,0679;1429285,101;276787,5251;15878,87116;1603762,87;1767168,839;2677669,251;374143,4737;19,4404422;262563,4079;15849,46887;271277,2586;48719,90006;845,4779315;20387,72976;731153,9006;551766,6058
PPS;6;R2;3929110,599;1192431,174;34397,49765;707744,4634;306156,6316;847248,7499;0;1905857,925;2261795,038;26,17136353;12353,32199;6350,444749;1644322,082;265057,1993;212255,9835;238749,7389;0;384688,4013;0;272284,2461;56,18290833;277,5633334;0;0;1790,872851;0;713076,1462;1624,123074;20,00281586;39,34395996;21559,20968;553890,923;10344,59812;228059,771;2622,67297;9487,142686;0;0;6699,569672;1200159,438;24849,54389;102441,5541;17678,59014;0;308633,8574;98440,00662;246267,9403;875294,168;1066740,232;262436,9416;1972569,371;290316,2014;26698,93651;1432318,673;1584357,138;2769320,167;298734,6015;0;220719,9575;30189,92645;265931,3458;144379,8432;5405,791578;23176,84577;704457,9699;624979,3737
PPS;6;R3;5513790,922;1218860,036;28582,16764;1649817,825;461391,869;1955631,073;0;2148647,935;679371,0329;0;2159,294544;1945,385359;1040755,44;406920,6099;358785,3262;454580,5634;0;1023481,632;0;653232,4882;57,24619904;230,004776;0;0;11397,84812;0;724325,477;265,4872723;36,0375769;157,2287915;64742,97878;1884906,395;20849,95075;514153,6583;10090,10742;15504,83943;0;0;19260,42752;1858710,031;60389,52327;182625,0494;54989,42627;0;283123,266;77535,44876;174669,4263;790521,9299;2264057,225;759448,2969;3192783,752;1041621,932;104713,9978;1743228,953;2011762,65;563397,8702;877086,1908;26,19897583;557720,5918;7395,081753;121325,7642;75179,00209;5255,642588;12565,75968;735735,8554;427609,1386
Syncom;9;R1;9440629,877;1228571,223;110254,7955;445836,3237;167591,9603;957149,6779;0;0;635,2592944;0;3328,630712;2245,537278;2123630,865;0;0;0;0;87250,69719;0;172288,26;169,761492;0;0;0;643,0438266;0;1130454,51;18135,47206;32,7132312;167,4635284;53968,44546;362497,9925;55616,54578;251323,4131;38514,51708;38900,54446;0;0;27881,15716;658460,3939;55637,61669;39865,53879;3077,403948;0;426930,69;203767,9372;300917,7933;1179514,147;340,7768701;1742,946089;882173,0602;0;3066,245647;946335,2181;1017723,2;2127596,216;0;82,06000168;2005,436858;129345,2425;571446,911;205324,9548;17058,0542;50342,64169;697517,8103;625535,7687
Syncom;9;R2;9939516,543;1313688,24;40702,47641;429498,3664;185456,0497;1004619,818;0;0;0;0;4846,477179;1701,056471;3601144,099;0;0;0;0;61927,08746;0;170270,5665;18,10008408;223,4414864;0;0;6587,633973;0;979722,7227;3955,611573;28,83979431;31,7375354;61211,37617;357376,7162;116341,7836;263385,0753;57252,9838;84277,37198;0;0;25150,49165;588672,9938;51222,89875;39688,9086;1937,066363;0;1113498,559;523301,2089;592999,7709;1051573,066;523,8113223;1382,494532;858637,1901;0;1040,023812;1272404,263;1461095,639;2082668,17;0;90,65509277;2217,856892;465622,3668;604554,7149;283896,4971;31966,32043;138452,6983;723236,9607;580382,9134
Syncom;9;R3;6063734,058;1245479,255;53475,35583;440432,8154;263709,6756;1191244,402;0;0;0;27,52809082;4297,54305;1298,519812;7475665,123;0;0;0;0;71841,64709;0;167672,7357;0;264,6095407;0;0;878,0322583;0;1105387,93;10129,8574;20,05938034;333,5119849;61058,22937;629343,6879;18254,98478;268910,832;6267,358077;14487,97765;0;0;43817,8966;608244,6344;59390,16765;33721,86173;2103,969844;0;2768613,352;1518838,33;1413424,292;935685,1795;669,2398709;1530,191093;823327,4697;31,08172852;7471,472252;1118229,713;1248947,187;2127133,867;0;67,68208557;587,9310196;237396,8898;570343,6579;733592,3728;251027,5736;66625,5914;699678,5709;561626,2541
WT;9;R1;6501600,317;1255558,201;68491,6717;522827,9518;298562,2903;869094,5407;0;2373719,672;2446587,056;1063,762936;8598,202747;5094,291702;1326317,348;319228,7396;264741,7896;300195,3795;0;427455,6435;0;253404,2421;38,40963501;858,4266536;0;0;6218,431756;18,47050598;1083159,672;11700,69098;36,38675171;26,12689453;19540,81972;424213,1166;15251,60098;204777,173;6342,615793;14366,56729;0;0;145637,82;713700,6228;25420,15024;61284,36932;6285,511745;0;280205,9659;81655,5327;156483,079;1114823,005;1261224,763;73890,69409;1533140,687;614438,5834;6801,242581;1933342,633;2217788,764;583614,7776;1321259,219;0;629611,2516;203991,8492;357241,1801;89278,73976;5263,129255;43175,1923;716559,2326;565392,1146
WT;9;R2;3017761,093;1351248,26;20115,59446;298697,712;507664,4829;508412,1118;0;2357097,097;2505197,745;169,6495825;41586,0888;22346,30288;580359,9031;332446,5161;216942,3592;233356,3453;0;235008,0829;0;88510,65219;18,84528946;240,1819409;0;0;6343,933184;0;982497,5793;6627,841234;0;18,18594498;10092,84181;490744,5089;159519,2201;95768,01118;123183,7775;116046,739;0;0;67200,69003;530452,8556;14488,86278;39404,55541;3425,14804;0;128207,7862;44305,73922;111508,5385;1040032,407;1760520,849;93176,53023;1203692,189;664828,8824;4583,964364;1541940,705;1738128,05;2169767,298;1250185,836;0;776924,6264;18967,21207;364560,3905;39349,00299;239,8255133;11916,24066;732616,9349;548881,1452
WT;9;R3;3257434,012;1382667,315;29929,95393;199620,4873;231764,2326;408153,8668;0;1896796,393;2672221,567;0;35203,09411;12395,01116;1072254,009;194399,4659;157567,2655;154545,0077;0;160845,9316;0;95821,31273;40,38756866;0;0;0;7397,782419;0;970728,0557;471,2744788;121,959402;22,09278625;650,8638098;398139,0591;54182,82352;91853,50838;35093,72984;40164,96489;0;0;2218,537621;436457,1997;8868,35198;24725,80333;2077,694926;0;295980,073;96535,37391;151244,988;958802,389;1050979,813;51433,95728;1007349,791;383454,8746;2548,015201;1445186,561;1620228,263;2166246,701;707560,3617;24,70423279;403451,5207;106966,3966;465382,7728;84633,00983;1983,016645;30115,10493;757455,3341;504558,7448
SFP;9;R1;1,25E+07;1268832,485;27031,83198;899653,6029;276995,648;1241432;0;1253,910081;17734,89263;20,16783737;8921,460924;2220,893272;2443628,835;0;0;0;0;547143,8499;0;363736,8226;31,12810455;252,8421021;0;0;5584,195311;0;1018714,006;4298,580303;0;26,85964417;26168,77247;713837,7921;68415,6946;362700,2095;43909,71257;50442,84705;0;0;6675,307852;678480,5809;36329,92206;95424,61765;11687,99243;0;607285,3749;278060,8755;441446,3071;982262,3085;1219,080932;7016,397308;1300628,599;1498,645486;9549,969437;1572482,4;1784366,182;2041227,923;111,5549634;0;1625,887511;72293,59206;532679,7811;188023,1996;21961,54315;41456,3044;714844,964;620414,135
SFP;9;R2;9674776,709;1283327,029;26852,74306;488291,7879;454623,1767;666950,324;0;0;7014,823166;247,80957;12135,12702;3735,179191;837552,0168;0;0;0;259,74;363167,3883;0;186200,6469;29,22101807;370,0542755;0;0;3737,119562;0;1186162,707;11447,71525;31,44315674;30,72370972;17790,02204;531976,0811;124683,5542;194408,1982;83544,73879;83983,38309;0;0;133113,4819;479010,1788;21698,68417;54125,20863;4188,241024;0;211854,4055;110093,4866;132541,3288;965427,5704;302,7164392;10846,06386;994004,3447;22,05585846;4255,631615;1575106,058;1849393,596;2246061,77;0;18,51666641;5156,67839;784292,3772;577843,0266;65625,60234;2034,209864;15507,02345;712651,8931;563948,3641
SFP;9;R3;1,20E+07;1262338,778;21546,02335;804184,4853;382159,8044;1083480,283;0;0;1964,444257;20,53105362;22724,35675;11481,38371;1,09E+07;0;0;0;0;537710,1709;0;320579,7569;39,91710938;326,5615027;0;0;3092,255682;19,77000046;1100134,689;10926,9783;56,01242798;88,41691772;25292,90188;806004,6428;142867,4307;279273,1692;65184,4813;135278,3371;0;0;29202,8527;713846,867;29460,77487;93488,87882;10517,78942;0;3532834,109;1765224,741;2475218,593;1116558,811;1121,918717;8700,374791;1389087,728;29,77887085;6867,91869;1363683,778;1590268,909;793379,3642;0;18,90085831;4232,918789;526801,3275;635955,8121;1715519,055;681691,185;476897,4976;726073,9688;657485,8303
SRFAC;9;R1;7560474,382;1311674,631;37072,92871;430965,5038;262790,682;585637,2189;0;0;3032,521192;38,52876709;7439,37884;1167,527191;240441,9096;0;0;0;0;171020,2525;0;164709,6515;25,13883087;294,4251906;0;0;3443,188163;245,2814127;931453,1563;1126,200718;27,1689624;34,78039307;8060,634562;586136,8579;43345,66993;155738,3517;26658,60911;37230,09409;0;0;109158,6835;528115,0408;13140,16089;49033,24213;4419,491999;0;107070,2314;60108,44604;96776,95342;875779,2545;1005,555702;8294,395129;1184267,937;417,2297278;8144,181083;1338095,221;1568018,313;823444,0842;0;0;2559,286405;80907,03332;581482,08;12402,33862;0;8826,466085;726281,3552;502416,3757
SRFAC;9;R2;6700011,626;1448986,554;34997,41292;710582,5348;341362,3696;1106704,1;0;0;0;251,8701562;6877,962054;2086,377094;1975898,358;0;0;0;0;494542,5915;0;240567,4539;28,7316156;540,567453;0;0;1762,594146;0;988831,3952;2761,274659;23,84321045;30,16023926;27905,78498;612822,07;57976,9347;271056,3858;28224,14489;48777,14867;0;0;18827,23284;532280,5945;41089,91306;83732,04022;9703,584473;0;798851,3303;415247,3972;327910,1152;832855,1722;1956,952059;5278,617063;1197212,518;177,8844177;19341,32113;1730544,522;1927832,202;2901801,34;0;25,0992865;1413,575411;219072,6046;611843,6883;131937,22;10942,06488;14136,97133;784036,5525;621788,6914
SRFAC;9;R3;6510270,55;1369519,018;31359,19346;616824,2282;543572,0683;738085,085;0;0;0;182,2514511;8118,91191;1501,102793;1718579,869;0;0;0;252,9832141;284664,8174;0;235431,3035;30,99240967;886,1605737;0;0;2120,264901;0;1580093,967;8772,036954;134,6024762;30,42519104;24449,62368;519582,8796;16822,53389;180895,9802;6849,412029;15682,07614;0;0;132990,7991;486696,294;30760,54205;80411,2421;8125,498766;0;361533,4326;178494,5183;136924,7957;1234537,924;865,4693765;5544,226904;1076905,653;103,9077631;10267,28497;1817445,532;2044203,391;2242690,659;0;27,24468933;907,594585;204215,1151;667378,8745;47208,18088;11977,10349;13769,19365;764305,7793;822579,5858
PPS;9;R1;3597313,01;1416655,33;27109,70994;254145,8915;323045,375;437785,9018;0;1525665,275;2694726,999;23,04003296;4904,004774;2481,912732;7198935,719;135561,0172;89576,10521;86348,02531;0;36639,44352;0;99937,62615;22,2440625;238,6932056;0;0;2503,253459;0;1205424,133;189,0482281;45,48288116;108,7934431;6888,661705;409815,688;33366,19707;94829,93857;20559,73815;24845,54988;0;0;69167,78718;372449,7882;11139,03481;28539,0048;1378,895598;0;1739556,358;576343,8324;1250659,033;942458,2157;1279716,195;68546,65111;863963,8795;333086,1342;0;1520046,065;1873501,277;792548,9001;772866,7034;38,14831787;649998,5207;64755,15053;605761,0088;822923,5755;230539,1766;424735,7379;808672,4899;632405,7487
PPS;9;R2;9070007,635;1419169,921;31603,96105;811504,053;442179,0895;1194159,606;0;1659633,795;2311432,452;24,50556793;5803,890878;1048,029437;1,38E+07;204712,9077;167483,1968;196378,7583;0;478908,5136;0;319047,8464;23,08679901;277,3050499;0;0;3320,098872;0;1239774,804;8026,994377;29,67245178;0;19965,94942;1013639,516;19293,76177;276522,6795;7233,322097;16041,90013;0;0;209290,1781;792821,8287;26830,22351;75860,82565;8409,836678;0;4667775,144;2080675,062;2376482,71;833356,9865;2187339,169;123994,9155;1829472,227;394286,7506;9717,58849;1894175,995;2246617,978;778143,1537;1011570,633;19,64278152;867525,7082;215479,6342;434895,5281;2942155,584;1366478,889;655664,623;790015,7385;1256709,581
PPS;9;R3;6938332,432;1352584,8;32115,32937;556816,8625;452089,4573;918938,3031;0;2066629,006;2364418,318;35,18769287;12361,5642;2399,211652;1,43E+07;308085,2834;243955,6342;294430,845;0;481680,8878;0;213514,5071;26,46832489;403,6902887;0;0;2544,088716;0;1217057,646;8297,706438;28,55402985;33,67793335;16145,13096;895485,7705;49487,14438;187083,2119;30419,5722;36551,0246;0;0;6679,173012;709521,2508;20023,32622;47056,52487;5400,55796;0;5372227,976;2320458,958;4032521,267;914488,8566;2076002,648;109666,6931;1759435,725;633226,8248;5912,623176;1796613,787;2076346,235;799507,1845;1099122,347;91,25343933;1100675,66;50706,46823;415539,6936;2895329,135;1495001,584;732507,0181;775047,9325;1141538,695
