Syncom;P5_B1;sfp;srfAC;ppsC
8481293,493;4258931,807;11391592,24;6923585,519;6535217,692
1262579,573;1329824,592;1271499,431;1376726,734;1396136,684
68144,20925;39512,4067;25143,5328;34476,5117;30276,33345
438589,1685;340382,0504;730709,9587;586124,0889;540822,269
205585,8952;345997,0019;371259,543;382575,04;405771,3073
1051004,633;595220,1731;997287,5357;810142,1346;850294,6036
0;0;0;0;0
0;2209204,387;417,970027;0;1750642,692
211,7530981;2541335,456;8904,720018;1010,840397;2456859,256
9,176030273;411,1375062;96,169487;157,5501248;27,57776459
4157,550314;28462,46189;14593,64823;7478,750935;7689,819951
1748,371187;13278,53525;5812,485391;1585,002359;1976,384607
4400146,696;992977,0867;4727060,284;1311640,046;11766311,91
0;282024,9072;0;0;216119,7361
0;213083,8048;0;0;167004,9787
0;229365,5775;0;0;192385,8762
0;0;86,58;84,32773803;0
73673,14391;274436,5527;482673,803;316742,5538;332409,615
0;0;0;0;0
170077,1874;145912,069;290172,4088;213569,4696;210833,3266
62,62052536;32,54749771;33,42207733;28,28761871;23,93306213
162,6836757;366,2028648;316,4859601;573,7177391;306,5628481
0;0;0;0;0
0;0;0;0;0
2702,903353;6653,382453;4137,856852;2442,015737;2789,147016
0;6,156835327;6,590000153;81,7604709;0
1071855,054;1012128,436;1101670,467;1166792,84;1220752,194
10740,31368;6266,602231;8891,091284;4219,837444;5504,583014
27,20413528;52,78205124;29,15186157;61,87154968;34,5697876
177,5710162;22,13520859;48,6667572;31,78860779;47,49045882
58746,017;10094,84178;23083,8988;20138,68107;14333,24736
449739,4655;437698,8949;683939,5053;572847,2692;772980,3248
63404,43805;76317,88153;111988,8932;39381,71284;34049,03441
261206,4401;130799,5642;278793,859;202563,5726;186145,2767
34011,61965;54873,37438;64212,97755;20577,38868;19404,21082
45888,63136;56859,42373;89901,52241;33896,43963;25812,82487
0;0;0;0;0
0;0;0;0;0
32283,1818;71685,68255;56330,54748;86992,23848;95045,71276
618459,3407;560203,5594;623779,2089;515697,3098;624930,9559
55416,89436;16259,12167;29163,12703;28330,20533;19330,86151
37758,76971;41804,90935;81012,9017;71058,84148;50485,45177
2372,813385;3929,45157;8798,007625;7416,191746;5063,096745
0;0;0;0;0
1436347,534;234797,9417;1450657,963;422484,9981;3926519,826
748635,8254;74165,54861;717793,0344;217950,1205;1659159,284
769113,9521;139745,5352;1016402,076;187203,9548;2553221,003
1055590,798;1037885,934;1021416,23;981057,4502;896768,0196
511,2760211;1357575,142;881,2386961;1275,992379;1847686,004
1551,877238;72833,7272;8854,278653;6372,413032;100736,0866
854712,5733;1248060,889;1227906,891;1152795,369;1484290,611
10,36057617;554240,7801;516,8267384;233,0073029;453533,2365
3859,247237;4644,407382;6891,173247;12584,26239;5210,070555
1112323,065;1640156,633;1503757,412;1628695,092;1736945,282
1242588,675;1858715,026;1741342,896;1846684,635;2065488,497
2112466,084;1639876,259;1693556,352;1989312,028;790066,4128
0;1093001,806;37,1849878;0;961186,5611
80,13239334;8,234744263;12,47250824;17,44799194;49,68151291
1603,74159;603329,1329;3671,82823;1626,8188;872733,2963
277454,833;109975,1526;461129,0989;168064,9177;110313,751
582115,0946;395728,1145;582159,5399;620234,8809;485398,7435
407604,6082;71086,91753;656389,2856;63849,2465;2220136,098
100017,3161;2495,323804;235228,9793;7639,72279;1030673,217
85140,31046;28402,1793;177953,6085;12244,21036;604302,4597
706811,114;735543,8339;717856,942;758207,8957;791245,387
589181,6454;539610,6682;613949,4431;648928,2176;1010218,008
