Syncom;P5_B1;sfp;srfAC;ppsC
10703994,58;7179288,618;10229689,82;13633333,33;2508944,581
1196059,581;1265566,122;1276710,752;1273178,206;1614899,916
62819,26151;31161,72629;49355,91722;33897,57719;280283,5856
1279150,191;2247496,812;1589491,129;2609485,177;1406352,703
713112,9485;902589,7589;750786,5317;754032,5781;920449,8998
1384857,276;1463910,996;958053,2173;1582614,955;455157,016
0;0;0;0;115351,5987
0;3116652,722;6899,28724;0;2744401,942
0;1984361,484;60336,25221;2878,687512;2817586,242
8,251011963;128,4827971;5532,195068;1606,228609;1046594,461
8756,680389;2688,230729;7598,69502;4669,424241;39924,40863
4216,978897;947,8759859;2890,064488;2911,737976;16469,62774
6036441,921;1024166,138;4094522,753;1112984,716;618043,982
0;771570,8728;254,2542682;0;758320,868
0;848733,794;125,9818304;0;445237,5304
0;1082833,897;199,2954094;0;503701,9053
0;865,009209;42046,85711;16879,84786;602963,9591
131252,2258;1172700,284;1074441,262;1243485,071;484393,8216
0;0;0;0;19646,48719
482735,0699;1141832,285;625724,1303;1004494,153;556506,4045
122,9277924;29,60967819;24,85935058;61,95720673;142474,7134
1056,889409;3896,57163;7029,939821;9949,204394;141498,7408
0;48,30853163;0;90,2772281;141454,1995
0;0;115,7465991;0;291659,8868
1312,825669;2048,187414;3395,070426;4665,923005;464611,2308
0;0;0;0;103287,1931
616700,3405;597983,6615;585538,4277;558375,0962;476771,2085
8813,930213;7368,09002;9046,57806;1127,959463;226565,9277
57,77961807;63,491055;29,22195282;43,94533829;100879,9183
53,64865083;113,5124765;60,58758164;18,4793866;118923,548
187666,4138;189465,2106;117766,6696;360527,9648;226906,8566
837369,9182;1411951,662;891693,5662;1350018,354;523065,0099
16013,43342;14315,20336;20159,49912;25791,0871;13344,14019
391303,5574;582858,4946;323514,0344;592619,7317;148452,0146
3143,495911;2520,417112;5153,745288;13491,03257;4193,84227
16530,70844;11873,38727;21376,25659;20252,28429;11755,98698
0;0;0;0;19045,14952
0;0;0;0;234261,1961
38106,37583;28224,26845;23842,74169;142215,0009;59538,8396
1038777,613;1778302,776;1021923,218;1454151,748;702496,6054
101579,095;92708,29075;51650,46929;142924,7519;77307,18802
157019,2892;250961,601;207892,283;282834,2098;166468,583
12208,40014;39748,98884;23412,28323;44285,34005;67329,07235
0;1203,639261;5070,889562;7360,241533;329532,2569
1788255,676;209855,1427;984173,3662;227091,7797;107982,6694
878242,1702;38966,26647;538052,7092;96708,01254;41285,744
801273,1579;148458,3633;793311,9702;182094,3994;98574,08944
754395,8918;809418,7074;922290,7992;719393,5333;669033,1387
6,855945283;1373852,92;228,8649194;480,0917719;708104,9682
6553,875765;1224024,354;16038,21793;23767,59012;555022,8267
1039125,408;2225146,594;1276282,893;1813627,173;879921,69
0;538750,5131;451,4444563;0;109530,0469
37600,05005;505865,0143;45715,07186;213711,2876;54471,95631
362760,0945;835755,2648;711707,963;634749,3969;410921,5695
368148,9651;861088,1327;726892,4879;664177,7271;441091,8284
2721629,428;2533070,787;2675443,552;2752997,688;1763656,095
0;263369,5923;0;25,41041122;69790,95754
84,10256225;119,8814081;59,00567535;116,5410785;131,2996579
86,23321366;94936,62635;494,570224;430,4617514;52220,56593
34977,6494;21138,46023;22792,64647;35563,24359;39502,83638
307571,9835;48761,09109;289192,1545;211392,5467;105356,7686
624055,8641;90989,1416;431315,9958;100061,7133;49245,52453
169321,2643;5807,961172;93526,5056;4019,136934;906,5843212
95632,5478;21961,27677;32804,42093;11423,495;6529,609757
682762,0976;742016,2172;756586,4655;729796,2579;884061,2321
301292,6407;227832,9225;409052,3901;287096,625;176672,879
