Mass
641,5464672
774,4969562
300,1982354
625,551172
229,1541846
627,5302778
795,33451
1036,691008
1058,672536
530,2966339
522,5962349
494,5650646
282,2792148
1022,675055
1008,658958
1030,640884
459,2604184
655,5616643
1129,766195
626,5543068
489,3393701
385,244078
558,3276188
659,3395564
387,1878978
388,183852
430,2433319
362,2973351
533,3654215
267,1223251
629,5095128
690,5056993
481,2613288
639,5303732
657,3660919
437,2354056
489,2262526
635,3394944
639,5301216
676,4903289
655,5250297
568,4927064
1157,960889
553,333855
256,263347
284,2943012
310,3105247
415,2115465
459,2811504
245,1861363
664,4900626
1054,701265
417,332036
138,0548807
120,0443559
764,5361887
572,3655004
349,1693485
360,213265
284,330499
481,3130987
280,2635166
563,5506289
393,2965949
393,2855687
339,3445316
