Syncom;P5_B1;sfp;srfAC;ppsC
11816692,15;8551186,545;11997666,29;14066666,67;3727025,254
1170972,803;1207993,693;1230821,715;1281291,087;1233396,046
38124,50214;41017,09071;34217,13867;50682,24717;35043,23964
1015438,832;1312238,184;1167840,488;1478349,966;926175,7477
179415,4864;383781,8522;249568,7347;339326,9295;345893,773
1685839,801;1377732,661;1238888,576;1685750,574;1105594,293
0;7,65328766;0;0;0
0;2769213,343;2102,824804;0;1888372,944
1400,308851;1481057,66;19574,5657;1518,405781;2001158,148
6,755898283;7,946424867;37,96576874;64,25795639;41,42354126
4235,208722;3481,36499;12396,0966;16585,06923;8164,96727
1230,854926;2173,761761;4437,384194;8122,19064;4166,529117
787428,6918;1020751,522;835295,0959;913166,6331;1100249,209
0;487028,1435;0;0;289928,32
0;422405,6365;0;0;238201,695
0;536539,4219;0;0;295380,276
0;122,792417;65,09345063;121,399621;0
138559,2474;829945,575;852202,9286;935526,999;514126,4469
0;0;0;0;0
379457,2784;520706,9988;455147,9741;567017,6233;350212,0566
40,52433426;30,71971969;37,43582153;46,6400705;47,36450745
82,83556917;214,924819;88,36413637;325,6043417;169,1893698
0;0;0;0;0
0;0;0;0;0
3299,839745;2437,393283;5311,331315;3157,98011;4966,567653
0;0;0;37,90504028;0
673461,1494;722045,0457;705967,1176;722563,3965;742030,0303
2594,089512;4551,773958;2733,049403;4976,834952;1027,896419
32,55829529;29,17204132;36,00563751;47,51258758;26,60388092
39,77246399;468,366618;74,28744506;792,8384178;74,6718692
155128,0479;46837,93839;55577,18037;87189,80954;33547,51981
786449,0577;1474646,837;1143422,727;1462777,123;1061465,602
124882,3639;215422,8563;15079,86918;51043,43975;16980,01992
457487,8435;402569,8854;429536,5881;523486,9001;296728,5514
70159,75069;92124,68478;5347,997873;23436,26062;6886,14669
95608,44256;211372,8526;12749,67149;46393,03199;14028,59087
0;0;0;0;0
0;0;0;0;0
31665,08113;11383,39351;57201,26564;105927,1255;9995,509736
1041629,638;1639070,02;1202250,961;1526025,833;1305003,54
110829,5012;49777,83306;44753,36983;79002,31219;33431,96834
104207,191;164992,2328;157324,9088;192463,3871;115747,3641
9721,255936;34287,33517;30864,25268;48905,37526;26948,44567
0;0;0;0;0
198063,7972;210804,4777;220975,9689;197523,1077;250341,9773
95607,32761;54727,45767;94036,76481;94626,30826;79915,40137
128661,1591;222996,5261;134380,9777;162552,0165;174635,9733
980955,715;1027583,851;933957,6833;965739,0038;909244,722
269,4825095;1420830,666;154,0453253;480,8788779;1493325,371
1022,033434;570087,8115;6196,865781;7917,227275;430717,1021
1221503,317;2713761,457;1782792,576;2507961,998;2198212,741
0;929562,2514;560,7720975;0;536241,8862
15954,37476;132445,3745;16477,96461;88519,85808;49097,26849
1141081,29;1694263,115;1669151,338;1711325,577;1593103,499
1160643,325;1837511,996;1779877,278;1845379,813;1787762,876
2562287,142;2224996,576;2656447,392;2767672,224;2003462,429
0;691779,6882;10,29483032;0;516654,7553
32,0038681;67,59386733;34,25953384;16,49294693;15,21313934
3117,568639;229917,5083;247,3531268;1467,230243;347001,3191
161428,0447;57774,88833;49537,5065;35568,37639;17811,49236
364643,9067;120684,5248;375902,6189;347718,5118;219511,4562
63158,51069;87703,73619;72135,08039;79428,53646;89426,24845
1612,250593;5508,813261;2558,653101;3392,177705;3835,637366
13222,96108;17081,80345;16233,41423;21975,08788;18710,11174
667321,8631;746429,7148;728488,946;762009,1959;723782,5753
438292,3526;604512,6217;484697,971;516542,6404;534785,0394
