Treatment;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60;A61;A62;A63;A64;A65;A66;A67;A68;A69;A70;A71;A72;A73;A74;A75;A76;A77;A78;A79;A80;A81;A82;A83;A84;A85;A86;A87;A88;A89;A90;A91;A92;A93;A94;A95;A96;A97;A98;A99;A100;A101;A102;A103;A104;A105;A106;A107;A108;A109;A110;A111;A112;A113;A114;A115;A116;A117
Syncom ;8118705,687;3725325,147;3179761,006;1235131,7;1068759,595;1052122,914;1225583,554;2446633,347;284215,4932;430111,4496;826334,1116;124706,4391;98453,95442;42494,4869;30460,4712;126894,3727;4267,309983;36355,77827;682863,1077;8438,811303;2552782,039;3264978,576;398850,058;1628667,994;407193,9406;374347,1647;395205,7143;562212,282;87797,209;52702,47201;75306,95151;44536,25116;37186,06296;8004,781452;12749,4185;9527,254823;13306,8819;6126,464373;3921,620562;965006,8955;165722,4264;71161,77321;2037766,465;11335386,28;99908,01395;10013,41371;1529098,184;352460,2783;25209,59693;153,6514501;0;1964,048065;8143,363235;7849,257235;1975,309932;1155,822198;1787,66141;850,1472034;208398,4587;48732,06198;9533,997492;7115,270061;52062,95613;31,58669891;754,5446637;3669176,545;166854,1788;79,95083313;41304,25072;14050,05183;810783,8201;1554,802443;643,2868993;415075,8205;441877,347;8438,344454;10825,94778;7728,811908;2912,513487;3861005,454;7980,493215;222,382551;547,2661395;466,3746216;3142,441422;451723,9681;73397,91655;2434,380648;377618,5394;1168776,911;1772,49975;7953,230911;4987599,033;7507727,804;989592,6131;635159,863;382074,2682;365751,8363;303744,238;357285,3054;25781,52043;60449,95659;7020,611061;156,0836755;892,7777643;28730,82428;2807,259239;2369,723756;714,2648422;0;532,4419293;535340,3583;461706,8443;0;1923,1648;432,1296075;0
P5_B1;8436315,452;3051557,727;3327371,337;1172388,587;1183642,398;1063542,849;982936,4848;3107553,556;822934,4758;675721,2704;886159,0801;655011,3608;295369,6347;45605,98223;25336,50282;342370,1015;12001,51706;94260,82202;1032882,392;3476,836068;3347160,731;3930467,964;505094,7275;557646,9731;526896,0797;507558,035;315028,5284;483966,1014;96169,05779;129902,8753;331702,8384;140205,6012;20427,17571;13513,37798;12363,79713;5158,316382;9426,868736;3706,369138;33741,7998;1248973,736;237334,4396;51934,65013;2886631,107;2526705,802;2081450,682;2243484,968;982861,2201;503527,1545;88940,58685;88378,71273;14892,07789;1708,508942;2443682,885;2861614,948;646616,926;1147787,203;905657,894;57855,28739;126953,7714;44378,57885;10857,57785;35861,68097;51492,04692;6903,645787;1325,526406;4427137,951;740518,3647;66084,29707;76610,20667;16203,12324;742049,733;81526,00536;17093,14987;49988,49723;410104,2627;66302,1818;10147,16036;9377,731861;14758,68314;7288994,752;405478,1751;574688,624;16111,73698;3282,274738;5420,725042;296125,9397;108889,6109;725,9105571;396293,9392;1098197,445;28256,37995;25054,52694;5071290,066;20333333,33;885711,7501;557100,2509;312808,3095;299204,431;283622,0251;312437,5017;26393,35711;39819,40775;12279,72488;2664,378628;593,6958377;206228,6451;4567,012701;3760,097605;5083,505604;9805,086949;1998,731332;664092,4201;6958,182821;9250,609646;1016114,273;4764,629116;3601,624139
sfp;6508437,369;3234620,797;3033153,649;1189301,673;818322,6143;1205578,832;807388,362;2500491,263;660281,1136;1016135,389;1578425,912;534777,6184;384395,4233;71787,9598;31540,1189;99501,85978;15286,49334;143879,1856;1329602,718;9669,55683;2975768,084;4479679,881;433408,6916;980937,2234;449489,4437;439458,165;445015,7894;518494,0876;124403,2303;144629,4501;119680,8322;91099,20629;28591,52671;6142,983138;16036,72311;15135,51015;11915,36326;6109,012925;15891,15616;1156194,556;40108,35268;49107,58896;2780526,049;11033333,33;31411,32532;1705103,233;1854338,828;307988,2947;125663,3535;0;78,68610413;2203,176803;1515,671593;1992003,266;477,143194;473,5937887;0;34371,94351;337081,2655;67364,69422;10876,78152;42534,49285;37768,5793;6386,295397;991,3796666;7156508,555;2142390,253;814,643148;43879,82442;15402,07603;814500,1744;27905,08689;14340,61371;547323,3085;505386,5894;68779,90707;10599,86374;13134,4912;12286,60742;7284246,138;230389,3869;373826,0796;46405,04401;7634,754793;8221,64921;365231,3293;97877,47443;3445,656854;424011,0737;1152243,117;23216,38432;29732,62146;5584721,516;21133333,33;1211127,261;716092,1213;430914,4151;385102,0941;376974,5376;424476,8257;30379,12859;54135,80838;13143,5977;4009,211689;3148,991369;17772,25958;6451,580173;3761,96741;5123,499245;5398,085951;5208,303202;672048,4413;384906,7106;0;176,9747649;5104,389052;2750,548077
srfAC;8960299,705;2772281,968;3187521,309;1449844,618;836753,3992;1035448,504;644584,1139;3037715,999;825639,8996;650989,6016;812932,2948;488721,0784;407379,8363;69059,52396;30491,85238;118543,0311;8152,036832;97962,04434;1059273,471;8928,862162;3020590,899;4517849,771;287413,676;918864,6558;293869,7732;288658,5185;299613,9453;319280,6228;100924,1426;50555,81014;170930,5359;79162,76158;30030,9842;6793,419837;25029,55464;4572,227253;14905,00319;3331,187453;92451,91078;1174760,048;516901,6545;64362,98864;3061899,392;10598364,54;1984,553108;2587917,805;2267346,611;530650,5341;132570,0242;0;0;2897,139673;0;3913619,462;0;0;0;45165,76478;127579,856;72941,99343;8284,296268;28376,89736;18224,11342;8931,957246;883,4284821;7593274,233;1330140,062;0;66741,54236;26791,83572;632645,8924;103337,4895;25560,16453;327163,9838;418323,7034;162345,7741;18772,60431;11619,64915;28291,77392;5222087,33;929217,7008;683641,3081;10320,00449;3236,966033;7341,101531;363065,6216;98874,10892;1815,580118;619327,9989;1061942,581;11874,8927;27475,04344;5234223,242;23533333,33;913630,1786;620257,8809;314647,1321;284819,4726;303264,2929;320421,9491;27577,70527;52174,2812;15692,52345;3397,745048;930,7832417;29145,40739;5457,992491;2639,234991;7336,235953;13362,59053;2414,009392;863801,2157;538441,2026;0;0;10629,64517;4263,310954
ppsC;5497677,023;2945008,968;3149037,822;1596497,965;1316536,592;1456419,069;790079,13;2799955,186;665514,4304;851986,1632;1587406,382;382572,8315;446894,9878;102837,2895;25607,52608;439699,7848;20229,19591;178078,5805;2004802,216;4361,669474;3176069,709;4358056,165;174924,649;532080,1801;186558,3908;186767,1848;665909,6252;432506,1557;148259,6814;84311,20848;84819,85375;115439,4872;15307,8021;5022,021455;21264,36376;8269,742199;14764,3727;6468,816804;104479,1943;889571,0915;310854,5682;53847,91026;4877297,674;3266028,141;2716424,569;3063056,193;1234564,54;382030,9642;147324,3361;116436,1351;20354,05955;2577,57745;2577081,454;4435382,232;647052,5264;1053679,789;845131,3238;45712,3399;258094,1786;60013,91821;14475,4658;68742,12848;38032,7869;7507,814106;725,6178307;8431743,69;788869,1409;49224,17278;62136,98612;27220,56739;718595,7561;153879,1686;33524,92243;104159,3801;575510,5223;264786,6143;7488,276538;6899,469579;20455,77141;8238706,445;415828,4801;833431,9543;112437,1619;7560,481551;8101,424989;282550,2403;85971,64079;1062,09212;259469,6937;1114578,576;83504,72067;32026,28946;4962185,405;16095514,71;1856025,957;985991,263;500152,102;460680,4813;440924,7068;487965,2979;35915,90575;41656,36362;12506,70752;2645,741594;3493,948635;122711,6301;5786,184453;3981,875328;6123,943249;7563,078541;2134,953739;788548,1518;7778,469949;6266,958388;930549,2473;7311,938968;5499,780798
