row m/z,row retention time,SCCe0124.mzdata.xml Peak area,SCCe0125.mzdata.xml Peak area,SCCe0126.mzdata.xml Peak area,SCCe0127.mzdata.xml Peak area,SCCe0128.mzdata.xml Peak area,SCCe0129.mzdata.xml Peak area,SCCe0130.mzdata.xml Peak area,SCCe0131.mzdata.xml Peak area,SCCe0132.mzdata.xml Peak area,SCCe0133.mzdata.xml Peak area,SCCe0134.mzdata.xml Peak area,SCCe0135.mzdata.xml Peak area,SCCe0136.mzdata.xml Peak area,SCCe0137.mzdata.xml Peak area,SCCe0138.mzdata.xml Peak area
,,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4
655.5614503,9.265868852,87250.69719,61927.08746,71841.64709,427455.6435,235008.0829,160845.9316,547143.8499,363167.3883,537710.1709,171020.2525,494542.5915,284664.8174,36639.44352,478908.5136,481680.8878
1129.765992,9.269291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.313131,7.541326241,45.8528476,51.63571289,77.51688538,26.46737183,36.93086884,121.786864,137.7882422,56.09649399,30.00981079,18.6514563,31.4498996,35.97218262,23.00699982,116.1003973,177.2794629
626.5540006,9.683902098,172288.26,170270.5665,167672.7357,253404.2421,88510.65219,95821.31273,363736.8226,186200.6469,320579.7569,164709.6515,240567.4539,235431.3035,99937.62615,319047.8464,213514.5071
489.3390975,7.535394366,169.761492,18.10008408,0,38.40963501,18.84528946,40.38756866,31.12810455,29.22101807,39.91710938,25.13883087,28.7316156,30.99240967,22.2440625,23.08679901,26.46832489
385.2437411,2.682984496,0,223.4414864,264.6095407,858.4266536,240.1819409,0,252.8421021,370.0542755,326.5615027,294.4251906,540.567453,886.1605737,238.6932056,277.3050499,403.6902887
558.3277003,3.7447875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659.3389682,3.572855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387.1843008,6.630585938,0,149.510874,272.3216052,337.6643857,123.9472046,240.5890338,490.4634558,20.03067719,1255.145706,81.62102051,0,416.8603455,920.8976917,319.3132764,781.4432117
643.5252646,9.099208633,152749.848,159918.1476,167386.5202,70644.94467,42721.33459,31976.95239,92564.68938,65300.90426,96275.98613,66434.05604,116463.0091,92716.43048,30514.68543,80099.69759,67487.41299
388.1852086,6.555184615,0,0,0,18.47050598,0,0,0,0,19.77000046,245.2814127,0,0,0,0,0
430.2432641,3.915572414,1130454.51,979722.7227,1105387.93,1083159.672,982497.5793,970728.0557,1018714.006,1186162.707,1100134.689,931453.1563,988831.3952,1580093.967,1205424.133,1239774.804,1217057.646
425.2749142,3.23017931,9081.621808,9438.613068,15092.00549,10755.29798,16173.76496,7803.549717,10279.17389,19415.59575,14367.84567,12855.11123,12903.35749,17625.12151,14325.35285,16576.53305,15862.38865
362.2973778,7.086627586,18135.47206,3955.611573,10129.8574,11700.69098,6627.841234,471.2744788,4298.580303,11447.71525,10926.9783,1126.200718,2761.274659,8772.036954,189.0482281,8026.994377,8297.706438
533.3653318,7.534064748,32.7132312,28.83979431,20.05938034,36.38675171,0,121.959402,0,31.44315674,56.01242798,27.1689624,23.84321045,134.6024762,45.48288116,29.67245178,28.55402985
267.1221666,7.011428571,167.4635284,31.7375354,333.5119849,26.12689453,18.18594498,22.09278625,26.85964417,30.72370972,88.41691772,34.78039307,30.16023926,30.42519104,108.7934431,0,33.67793335
629.5092681,8.848046875,53968.44546,61211.37617,61058.22937,19540.81972,10092.84181,650.8638098,26168.77247,17790.02204,25292.90188,8060.634562,27905.78498,24449.62368,6888.661705,19965.94942,16145.13096
764.5352709,11.29272308,2127596.216,2082668.17,2127133.867,583614.7776,2169767.298,2166246.701,2041227.923,2246061.77,793379.3642,823444.0842,2901801.34,2242690.659,792548.9001,778143.1537,799507.1845
722.3922176,10.9343125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726.4959777,10.55331915,676.4888351,324.4700995,1388.359704,398.0462659,975.8353143,1370.108914,500.8845602,543.6737311,347.271232,1004.519308,581.0046721,814.8804053,552.56405,441.2423438,918.3543484
690.5040284,10.37464138,9799.370894,3148.769202,7874.637433,5818.334163,5571.012842,3183.121317,9117.365468,5094.014989,6419.298419,9268.784153,4357.2661,4219.991482,4793.752929,12588.44172,8017.385336
455.216218,2.535641379,1522.004152,1486.054248,2570.846792,3965.46175,3597.348643,586.1604309,740.8474805,1257.566616,1856.548488,2682.074647,4595.531136,4594.675437,5387.205612,4104.183902,1648.325889
481.2611339,3.063937931,55616.54578,116341.7836,18254.98478,15251.60098,159519.2201,54182.82352,68415.6946,124683.5542,142867.4307,43345.66993,57976.9347,16822.53389,33366.19707,19293.76177,49487.14438
657.3659927,3.519593103,38514.51708,57252.9838,6267.358077,6342.615793,123183.7775,35093.72984,43909.71257,83544.73879,65184.4813,26658.60911,28224.14489,6849.412029,20559.73815,7233.322097,30419.5722
716.5207109,10.34315972,321.9184497,1480.658937,490.0410937,1272.87751,1374.207204,464.7570699,744.3937051,3468.035978,809.5146442,1665.253452,632.8425916,860.364549,508.2825284,434.0125854,970.2007224
639.5302072,9.041598131,251323.4131,263385.0753,268910.832,204777.173,95768.01118,91853.50838,362700.2095,194408.1982,279273.1692,155738.3517,271056.3858,180895.9802,94829.93857,276522.6795,187083.2119
763.5171965,11.33831034,65283.66112,64408.32031,59888.96374,59004.48069,63717.78498,43636.47042,60425.35286,66508.31009,36740.47101,93253.77125,89475.20367,89407.45919,35937.10219,80941.53174,37623.41931
183.0913253,3.267303448,390667.9796,429074.1097,572608.7922,541381.5506,581824.7655,410214.7644,515212.9131,608724.4927,592831.7212,475798.3986,590356.5921,584303.0444,549458.4699,719792.6011,705022.0972
437.2351624,2.894468966,38900.54446,84277.37198,14487.97765,14366.56729,116046.739,40164.96489,50442.84705,83983.38309,135278.3371,37230.09409,48777.14867,15682.07614,24845.54988,16041.90013,36551.0246
599.3896073,2.870193103,119387.1764,37722.98919,54340.29362,65861.67499,21173.88605,22684.53669,22683.61586,22465.02059,20373.87764,37358.32795,28784.61737,26767.21723,26962.29594,28280.71257,27514.76541
754.5237053,10.846648,267487.5443,159954.6508,231752.1149,223810.3293,193474.7282,147236.3705,165026.9999,241022.9082,183492.9909,152885.4808,170752.5691,229780.8829,161239.9134,200222.5284,181442.999
243.1336743,2.747468966,17441.49422,17036.64903,20757.8661,8590.248133,17023.09457,8125.63275,10171.28977,26165.21963,28801.93315,13128.96484,10181.59928,13120.94216,11147.05028,12183.17674,16187.91484
701.3924652,3.580710345,22253.5204,30244.54141,3785.143815,4169.61425,77296.6356,21718.84282,31080.00833,51662.28591,37820.94332,17505.0366,16672.48076,4297.260039,12459.03107,5022.474183,16578.79297
750.5211626,11.28911034,222835.0837,226287.4572,216158.2245,74157.94178,228877.6935,99254.34363,84157.31387,232931.9828,95933.69973,96300.70732,321947.0145,87733.28928,95384.67775,93688.80644,98313.88762
