row ID;row m/z;SCCe0064.mzML Peak area;SCCe0065.mzML Peak area;SCCe0066.mzML Peak area;SCCe0067.mzML Peak area;SCCe0068.mzML Peak area;SCCe0069.mzML Peak area;SCCe0070.mzML Peak area;SCCe0071.mzML Peak area;SCCe0072.mzML Peak area;SCCe0073.mzML Peak area;SCCe0074.mzML Peak area;SCCe0075.mzML Peak area;SCCe0076.mzML Peak area;SCCe0077.mzML Peak area;SCCe0078.mzML Peak area;SCCe0079.mzML Peak area;SCCe0080.mzML Peak area;SCCe0081.mzML Peak area;SCCe0082.mzML Peak area;SCCe0083.mzML Peak area;SCCe0084.mzML Peak area;SCCe0085.mzML Peak area;SCCe0086.mzML Peak area;SCCe0087.mzML Peak area;SCCe0088.mzML Peak area;SCCe0089.mzML Peak area;SCCe0090.mzML Peak area;SCCe0091.mzML Peak area;SCCe0092.mzML Peak area;SCCe0093.mzML Peak area;SCCe0094.mzML Peak area;SCCe0095.mzML Peak area;SCCe0096.mzML Peak area;SCCe0097.mzML Peak area;SCCe0098.mzML Peak area;SCCe0099.mzML Peak area;SCCe0100.mzML Peak area;SCCe0101.mzML Peak area;SCCe0102.mzML Peak area;SCCe0103.mzML Peak area;SCCe0104.mzML Peak area;SCCe0105.mzML Peak area;SCCe0106.mzML Peak area;SCCe0107.mzML Peak area;SCCe0108.mzML Peak area;SCCe0109.mzML Peak area;SCCe0110.mzML Peak area;SCCe0111.mzML Peak area;SCCe0112.mzML Peak area;SCCe0113.mzML Peak area;SCCe0114.mzML Peak area;SCCe0115.mzML Peak area;SCCe0116.mzML Peak area;SCCe0117.mzML Peak area;SCCe0118.mzML Peak area;SCCe0119.mzML Peak area;SCCe0120.mzML Peak area;SCCe0121.mzML Peak area;SCCe0122.mzML Peak area;SCCe0123.mzML Peak area;SCCe0124.mzML Peak area;SCCe0125.mzML Peak area;SCCe0126.mzML Peak area;SCCe0127.mzML Peak area;SCCe0128.mzML Peak area;SCCe0129.mzML Peak area;SCCe0130.mzML Peak area;SCCe0131.mzML Peak area;SCCe0132.mzML Peak area;SCCe0133.mzML Peak area;SCCe0134.mzML Peak area;SCCe0135.mzML Peak area;SCCe0136.mzML Peak area;SCCe0137.mzML Peak area;SCCe0138.mzML Peak area;SCCe0139.mzML Peak area;SCCe0140.mzML Peak area;SCCe0141.mzML Peak area;SCCe0142.mzML Peak area
763;458.4200799;3635.1736;3307.9072;2976.9465;0;0;3356.043;2306.6177;0;6646.9727;3805.3667;0;5194.734;11533.322;0;3474.1226;3802.4043;3978.1958;0;2942.6462;6085.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
764;422.3988224;1656.8464;0;1460.82;0;0;0;0;0;0;0;0;0;6790.467;0;0;0;0;0;0;3052.3977;1328.3667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1982.4999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2563.5715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
765;355.0696914;6202.0522;3501.5916;4184;0;0;2269.4783;0;0;0;3557.907;4824.185;2949.4517;0;0;0;0;0;0;0;5012.5645;2613.2056;0;0;0;0;0;0;5334.6147;7320.0537;3380.034;0;0;0;0;0;0;4650.1953;5003.036;4667.5635;0;1652.3536;2623.5334;0;2511.522;0;0;4489.864;0;5701.097;0;0;3334.9229;0;0;1735.8599;5847.6763;0;0;0;0;0;0;0;1832.9958;5811.8203;5041.412;5134.1157;0;0;0;0;0;2607.3035;0;0;0;1437.8857;0;0
766;512.4666415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1644.6132;0;0;0;0;0;0;0;0;0;0;0;1016.8817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1475.7866;1119.4907;0;0;0;0;0;0;0;0;0;0;0;0;0;1537.6868;1127.8306;1380.5781;0;0;0;0;1249.2307;1520.5436;1453.8779;0;0;0;1336.3582;0;1447.4243
767;468.4414916;61191.465;57058.633;55504.31;50292.742;29275.01;56866.273;45207.87;44948.36;86875.66;60405.21;45676.9;70776.35;130006.055;46437.6;56877.496;60348.082;62114.074;57628.203;49133.96;82894.414;50656.113;31910.336;27906.238;26739.104;30428.057;33440.42;54140.848;29654.02;33529.293;31491.26;27807.57;35439.492;32218.566;35328.055;23515.004;51824.195;23384.791;20199.467;22352.338;36469.37;46619.402;31425.814;37219.895;28397.166;28959.857;25544.104;25270.338;19278.35;46737.844;40100.844;38738;42954.688;30746.371;33019.703;22283.299;34588.33;30444.154;32167.027;33810.227;19293.77;62996.836;29828.885;38683.43;46631.105;33107.902;41574.77;33888.945;42099.465;36995.355;32855.035;36000.91;49134.66;38568.61;50264.75;32494.271;48291.508;43107.723;37183.14;49657.676
768;1054.70144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
769;1076.683179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
770;546.8272073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2611.0215;0;0;0;0;0;0;0;0;0;2008.8003;0;0;0;0;0;0;0;0;0;0;3277.4211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2950.5557;0;0;0;0;0;0;0;0;0;0;2583.657;0;0;0;0
771;311.2214213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3736.5054;0;0;0;0;0;0;0;0;0;0;3291.4927;0;0;0;0;0;0;0;1831.5354;2997.7896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
772;280.263375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1888.4841;0;0;0;22473.416;19936.172;8685.522;0;0;2979.6494;28677.104;8141.8525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5969.2085;0;0;11587.663;0;5118.9683;5422.846;17795.86;0;0;0;4314.414;0;46042.57;0;0;0;21388.475;105332.67;80168.33;138532.17;17950.53;23856.812;26999.541
