Mass
376,2595985
316,2125687
125,9864912
182,0814727
659,2869282
621,310195
300,1985813
625,5507367
125,9864178
641,545748
637,3050707
125,9864156
166,0858305
621,3090854
202,1801612
657,5405663
440,4092432
387,1794136
541,4285275
659,2866863
125,9864559
211,1442766
525,2873857
627,5298883
569,3135702
613,3400554
795,3347441
409,1616737
795,3341534
795,3345474
125,9863406
125,9863426
627,5294891
227,1026819
166,0857455
468,4404973
376,2589587
227,1022147
132,1021957
626,55414
125,9863691
169,0967649
540,4254533
641,5460766
1058,672908
530,2968883
658,5442088
282,2789532
120,0807142
1008,658735
1036,689372
118,0861602
1037,694126
439,2909516
1044,657375
1022,675349
1008,659396
229,1538009
641,5451391
625,5501662
377,2621635
300,1933535
657,5400654
525,2897749
132,1018476
205,0969075
655,5616469
1058,671062
376,259022
166,0857944
599,3902376
132,1022025
211,1435179
1129,7663
489,3391463
132,1021834
132,1020487
1129,771607
166,085622
120,0806937
385,2435015
659,3396668
132,1021731
132,1023186
261,1227564
642,5489962
120,0804019
118,0861275
157,1700955
1274,607983
132,1021782
118,0860928
773,4937875
132,1024047
569,4600649
441,4129493
430,2430778
784,4144668
533,365489
267,1219458
388,1838567
388,1860397
388,1857558
205,096274
605,3144364
658,543574
267,121658
643,2918934
229,1537834
605,3180875
643,2903899
629,5095904
629,5096286
1044,655772
1030,641042
229,1540961
659,3403651
